Retailer,Link,Brand,Category,Model Number,SKU,Description,Status,Listed Price,Original Price,Date
Home Depot,https://www.homedepot.com/s/WRF540CWHZ,Whirlpool,Refrigerators,WRF540CWHZ,302483135,Whirlpool 20 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel with Internal Water Dispenser Counter Depth WRF540CWHZ,Active,$2799.00,$2799.00,2024-08-08
Home Depot,https://www.homedepot.com/s/WRF540CWHZ,Whirlpool,Refrigerators,WRF540CWHZ,302483135,Whirlpool 20 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel with Internal Water Dispenser Counter Depth WRF540CWHZ,Active,$2799.00,$2799.00,2024-08-08
Home Depot,https://www.homedepot.com/s/WRF540CWHZ,Whirlpool,Refrigerators,WRF540CWHZ,302483135,Whirlpool 20 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel with Internal Water Dispenser Counter Depth WRF540CWHZ,Active,$2799.00,$2799.00,2024-08-09
Home Depot,https://www.homedepot.com/s/MDB4949SKZ,Maytag,Dishwashers,MDB4949SKZ,313573991,"Maytag 24 in. Fingerprint Resistant Stainless Front Control Built-In Tall Tub Dishwasher with Dual Power Filtration, 50 dBA MDB4949SKZ",Active,$667.00,$879.00,2024-08-09
Home Depot,https://www.homedepot.com/s/MDB4949SKZ,Maytag,Dishwashers,MDB4949SKZ,313573991,"Maytag 24 in. Fingerprint Resistant Stainless Front Control Built-In Tall Tub Dishwasher with Dual Power Filtration, 50 dBA MDB4949SKZ",Active,$667.00,$879.00,2024-08-09
Lowes,https://www.lowes.com/search?searchTerm=GCFE3060BF,Frigidaire,Electric Ranges,GCFE3060BF,5301140, Gallery 30-in Glass Top 5 Burners 6.2-cu ft Self-Cleaning Air Fry Convection Oven Slide-in Electric Range (Fingerprint Resistant Stainless Steel) in the Single Oven Electric Ranges department at Lowes.com,Active,"$1,099","$1,999.00",2024-08-09
Lowes,https://www.lowes.com/search?searchTerm=GCFE3060BF,Frigidaire,Electric Ranges,GCFE3060BF,5301140,"['', ' Gallery 30-in Glass Top 5 Burners 6.2-cu ft Self-Cleaning Air Fry Convection Oven Slide-in Electric Range (Fingerprint Resistant Stainless Steel) in the Single Oven Electric Ranges department at Lowes.com']",Active,"$1,099","$1,999.00",2024-08-09
Home Depot,https://www.homedepot.com/s/MDB4949SKZ,Maytag,Dishwashers,MDB4949SKZ,313573991,"Maytag 24 in. Fingerprint Resistant Stainless Front Control Built-In Tall Tub Dishwasher with Dual Power Filtration, 50 dBA MDB4949SKZ",Active,$667.00,$879.00,2024-08-09
Home Depot,https://www.homedepot.com/s/MDB4949SKZ,Maytag,Dishwashers,MDB4949SKZ,313573991,"Maytag 24 in. Fingerprint Resistant Stainless Front Control Built-In Tall Tub Dishwasher with Dual Power Filtration, 50 dBA MDB4949SKZ",Active,$667.00,$879.00,2024-08-09
Home Depot,https://www.homedepot.com/s/MDB4949SKZ,Maytag,Dishwashers,MDB4949SKZ,313573991,"24 in. Fingerprint Resistant Stainless Front Control Built-In Tall Tub Dishwasher with Dual Power Filtration, 50 dBA MDB4949SKZ",Active,$667.00,$879.00,2024-08-09
Home Depot,https://www.homedepot.com/s/MDB4949SKZ,Maytag,Dishwashers,MDB4949SKZ,313573991,"24 in. Fingerprint Resistant Stainless Front Control Built-In Tall Tub Dishwasher with Dual Power Filtration, 50 dBA MDB4949SKZ",Active,$667.00,$879.00,2024-08-09
Lowes,https://www.lowes.com/search?searchTerm=MDB4949SKZ,Maytag,Dishwashers,MDB4949SKZ,2638243," 24-in Front Control Built-In Dishwasher (Fingerprint Resistant Stainless Steel), 50-dBA Very Quiet Sound Level in the Built-In Dishwashers department at Lowes.com",Active,$599,$879.00,2024-08-09
Lowes,https://www.lowes.com/search?searchTerm=MDB4949SKZ,Maytag,Dishwashers,MDB4949SKZ,2638243," 24-in Front Control Built-In Dishwasher (Fingerprint Resistant Stainless Steel), 50-dBA Very Quiet Sound Level in the Built-In Dishwashers department at Lowes.com",Active,$599,$879.00,2024-08-09
Lowes,https://www.lowes.com/search?searchTerm=FGEH3047VF,,,FGEH3047VF,,,Active,0.0,0.0,2024-08-09
Lowes,https://www.lowes.com/search?searchTerm=FGEH3047VF,,,FGEH3047VF,,,Active,0.0,0.0,2024-08-09
